,Winner,Team_1_Position,Team_2_Position,Team_1_Afghanistan,Team_1_Australia,Team_1_Bangladesh,Team_1_England,Team_1_India,Team_1_Netherlands,Team_1_New Zealand,Team_1_Pakistan,Team_1_South Africa,Team_1_Sri Lanka,Team_2_Afghanistan,Team_2_Australia,Team_2_Bangladesh,Team_2_England,Team_2_India,Team_2_Netherlands,Team_2_New Zealand,Team_2_Pakistan,Team_2_South Africa,Team_2_Sri Lanka
210,Netherlands,10,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
211,New Zealand,9,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
212,India,1,8,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
214,Sri Lanka,10,7,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
215,South Africa,6,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
216,India,1,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
218,South Africa,8,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
219,Australia,2,10,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
220,Sri Lanka,6,7,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
222,Australia,2,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
223,Netherlands,8,10,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
224,India,1,6,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
225,Afghanistan,9,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
227,South Africa,5,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
228,India,1,7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
229,Afghanistan,9,10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
231,Australia,2,6,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
232,India,1,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
233,Bangladesh,8,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
234,Australia,9,2,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
235,England,6,10,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
236,New Zealand,5,7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
237,South Africa,9,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
238,Australia,2,8,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
240,India,1,10,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
