Team_1,Team_2,Winner,Ground,1
Bangladesh ,Zimbabwe,Bangladesh,Shere Bangla National Stadium,357
India ,West Indies,India,Barsapara Cricket Stadium,358
Sri Lanka ,England,Sri Lanka,R Premadasa Stadium,359
Bangladesh,Zimbabwe,Bangladesh,Zahur Ahmed Chowdhury Stadium,360
India ,West Indies,Match Tied,Dr YS Rajasekhara Reddy Cricket Stadium,361
Bangladesh ,Zimbabwe,Bangladesh,Zahur Ahmed Chowdhury Stadium,362
India ,West Indies,West Indies,Maharashtra Cricket Association Stadium,363
India ,West Indies,India,Brabourne Stadium,364
India,West Indies,India,Greenfield International Stadium,365
Australia ,South Africa,South Africa,Perth Stadium,366
Pakistan,New Zealand,New Zealand,Sheikh Zayed Stadium,367
Australia ,South Africa,Australia,Adelaide Oval,368
Pakistan ,New Zealand,Pakistan,Sheikh Zayed Stadium,369
Australia ,South Africa,South Africa,Bellerive Oval,370
Bangladesh ,West Indies,Bangladesh,Shere Bangla National Stadium,371
Bangladesh ,West Indies,West Indies,Shere Bangla National Stadium,372
Bangladesh ,West Indies,Bangladesh,Sylhet Stadium,373
New Zealand,Sri Lanka,New Zealand,Bay Oval,374
New Zealand ,Sri Lanka,New Zealand,Bay Oval,375
New Zealand ,Sri Lanka,New Zealand,Saxton Oval,376
Australia ,India,Australia,Sydney Cricket Ground,377
Australia ,India,India ,Adelaide Oval,378
Australia ,India,India ,Melbourne Cricket Ground,379
South Africa ,Pakistan,Pakistan ,St George's Park,380
South Africa ,Pakistan,South Africa ,Kingsmead,381
New Zealand ,India,India ,McLean Park,382
South Africa,Pakistan,South Africa ,SuperSport Park,383
New Zealand ,India,India ,Bay Oval,384
South Africa ,Pakistan,Pakistan,Wanderers Stadium,385
New Zealand ,India,India ,Bay Oval,386
South Africa ,Pakistan,South Africa ,Newlands,387
New Zealand ,India,New Zealand,Seddon Park,388
New Zealand ,India,India,Sky Stadium,389
New Zealand ,Bangladesh,New Zealand,McLean Park,390
New Zealand,Bangladesh,New Zealand,Hagley Oval,391
West Indies,England,England ,Kensington Oval,392
New Zealand ,Bangladesh,New Zealand,University Oval,393
West Indies ,England,West Indies ,Kensington Oval,394
West Indies,England,No result,National Cricket Stadium (Grenada),395
West Indies ,England,England ,National Cricket Stadium (Grenada),396
Ireland ,Afghanistan,Afghanistan ,Rajiv Gandhi International Cricket Stadium,397
West Indies ,England,West Indies ,Daren Sammy National Cricket Stadium,398
India  ,Australia,India,Rajiv Gandhi International Stadium,399
Ireland ,Afghanistan,No result,Rajiv Gandhi International Cricket Stadium,400
South Africa ,Sri Lanka,South Africa ,Wanderers Stadium,401
India ,Australia,India,Vidarbha Cricket Association Stadium,402
Ireland ,Afghanistan,Ireland ,Rajiv Gandhi International Cricket Stadium,403
South Africa ,Sri Lanka,South Africa ,SuperSport Park,404
India ,Australia,Australia,JSCA International Stadium Complex,405
Ireland ,Afghanistan,Afghanistan ,Rajiv Gandhi International Cricket Stadium,406
South Africa ,Sri Lanka,South Africa ,Kingsmead,407
India ,Australia,Australia,Punjab Cricket Association IS Bindra Stadium,408
Ireland ,Afghanistan,Ireland ,Rajiv Gandhi International Cricket Stadium,409
South Africa ,Sri Lanka,South Africa,St George's Park,410
India ,Australia,Australia,Arun Jaitley Stadium,411
South Africa ,Sri Lanka,South Africa ,Newlands,412
Pakistan ,Australia,Australia,Sharjah Cricket Stadium,413
Pakistan ,Australia,Australia,Sharjah Cricket Stadium,414
Pakistan,Australia,Australia,Sheikh Zayed Stadium,415
Pakistan ,Australia,Australia,Dubai International Cricket Stadium,416
Pakistan ,Australia,Australia,Dubai International Cricket Stadium,417
Ireland ,England,England,The Village,418
Ireland  ,West Indies,West Indies ,Castle Avenue,419
Bangladesh ,West Indies,Bangladesh ,Castle Avenue,420
England ,Pakistan,No result,Kennington Oval,421
Scotland ,Afghanistan,Match abandoned,Grange Cricket Club,422
Ireland ,Bangladesh,Match abandoned,The Village,423
Scotland ,Afghanistan,Afghanistan ,Grange Cricket Club,424
England,Pakistan,England,The Rose Bowl,425
Ireland ,West Indies,West Indies ,The Village,426
Bangladesh ,West Indies,Bangladesh,The Village,427
England,Pakistan,England,County Ground (Bristol),428
Ireland ,Bangladesh,Bangladesh,Castle Avenue,429
England ,Pakistan,England,Trent Bridge,430
Bangladesh ,West Indies,Bangladesh,The Village,431
Scotland , Sri Lanka,Match abandoned,Grange Cricket Club,432
Ireland ,Afghanistan,Ireland,Civil Service Cricket Club,433
England ,Pakistan,England,Headingley,434
Ireland ,Afghanistan,Afghanistan,Civil Service Cricket Club,435
Scotland ,Sri Lanka,Sri Lanka ,Grange Cricket Club,436
England ,South Africa,England,Kennington Oval,437
Pakistan ,West Indies,West Indies ,Trent Bridge,438
New Zealand ,Sri Lanka,New Zealand,Sophia Gardens,439
Afghanistan ,Australia,Australia,County Ground (Bristol),440
Bangladesh ,South Africa,Bangladesh,Kennington Oval,441
England ,Pakistan,Pakistan,Trent Bridge,442
Afghanistan ,Sri Lanka,Sri Lanka,Sophia Gardens,443
India ,South Africa,India,The Rose Bowl,444
Bangladesh ,New Zealand,New Zealand,Kennington Oval,445
Australia ,West Indies,Australia,Trent Bridge,446
Pakistan,Sri Lanka,Match abandoned,County Ground (Bristol),447
England ,Bangladesh,England,Sophia Gardens,448
Afghanistan ,New Zealand,New Zealand,The Cooper Associates County Ground,449
Australia ,India,India,Kennington Oval,450
South Africa ,West Indies,No result,The Rose Bowl,451
Bangladesh ,Sri Lanka,Match abandoned,County Ground (Bristol),452
